RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y);Trace 3  (X);Trace 3  (Y);Trace 4  (X);Trace 4  (Y);Trace 5  (X);Trace 5  (Y);Trace 6  (X);Trace 6  (Y);Trace 7 Už asi 7. (X);Trace 7 Už asi 7. (Y);Trace 8 Už asi 7. (X);Trace 8 Už asi 7. (Y);Trace 9 Už asi 7. (X);Trace 9 Už asi 7. (Y);Trace 10 Už asi 7. (X);Trace 10 Už asi 7. (Y);Trace 11 Už asi 11. (X);Trace 11 Už asi 11. (Y)
47546795,7738;34,0000;47546795,7738;24,0000;47546795,7738;44,0000;32040000,0000;14,0651;32040000,0000;13,4306;32040000,0000;13,5587;32040000,0000;13,8109;32040000,0000;13,9390;32040000,0000;13,0706;32040000,0000;13,9390;32040000,0000;13,4306;32040000,0000;13,8109;32040000,0000;14,0651;32040000,0000;13,0706
47978075,4798;34,0000;47978075,4798;24,0000;47978075,4798;44,0000;32080000,0000;13,8157;32080000,0000;13,0754;32080000,0000;14,3241;32080000,0000;13,4354;32080000,0000;13,5635;32080000,0000;13,9438;32080000,0000;13,6896;32080000,0000;14,4522;32080000,0000;13,4354;32080000,0000;13,6896;32080000,0000;13,1934
48413267,1673;34,0000;48413267,1673;24,0000;48413267,1673;44,0000;32120000,0000;12,8423;32120000,0000;13,0802;32120000,0000;13,9486;32120000,0000;12,6043;32120000,0000;13,1982;32120000,0000;15,4963;32120000,0000;13,4402;32120000,0000;13,3182;32120000,0000;14,5872;32120000,0000;13,1982;32120000,0000;13,8205
48852406,3204;34,0000;48852406,3204;24,0000;48852406,3204;44,0000;32160000,0000;13,6992;32160000,0000;13,4450;32160000,0000;13,2030;32160000,0000;15,1126;32160000,0000;13,0850;32160000,0000;12,6091;32160000,0000;13,5731;32160000,0000;12,8471;32160000,0000;12,8471;32160000,0000;15,7573;32160000,0000;12,9650
49295528,7452;34,0000;49295528,7452;24,0000;49295528,7452;44,0000;32200000,0000;13,0898;32200000,0000;13,7040;32200000,0000;13,3278;32200000,0000;12,8519;32200000,0000;13,9582;32200000,0000;13,5779;32200000,0000;14,4666;32200000,0000;14,0843;32200000,0000;12,4939;32200000,0000;13,4498;32200000,0000;13,5779
49742670,5725;34,0000;49742670,5725;24,0000;49742670,5725;44,0000;32240000,0000;13,3326;32240000,0000;13,4546;32240000,0000;13,3326;32240000,0000;12,9746;32240000,0000;13,3326;32240000,0000;13,0946;32240000,0000;12,9746;32240000,0000;13,2126;32240000,0000;14,9921;32240000,0000;12,9746;32240000,0000;13,9630
50193868,2608;34,0000;50193868,2608;24,0000;50193868,2608;44,0000;32280000,0000;13,5875;32280000,0000;13,7136;32280000,0000;13,5875;32280000,0000;14,0939;32280000,0000;13,8397;32280000,0000;14,4762;32280000,0000;12,8615;32280000,0000;13,0994;32280000,0000;14,4762;32280000,0000;12,5035;32280000,0000;13,4594
50649158,5993;34,0000;50649158,5993;24,0000;50649158,5993;44,0000;32320000,0000;13,3422;32320000,0000;13,7184;32320000,0000;13,5923;32320000,0000;13,7184;32320000,0000;13,5923;32320000,0000;12,8663;32320000,0000;12,8663;32320000,0000;14,0987;32320000,0000;12,5083;32320000,0000;13,4642;32320000,0000;13,5923
51108578,7111;34,0000;51108578,7111;24,0000;51108578,7111;44,0000;32360000,0000;13,1090;32360000,0000;13,4690;32360000,0000;12,6331;32360000,0000;12,9890;32360000,0000;12,7511;32360000,0000;13,4690;32360000,0000;13,1090;32360000,0000;13,4690;32360000,0000;13,4690;32360000,0000;14,6160;32360000,0000;13,8493
51572166,0558;34,0000;51572166,0558;24,0000;51572166,0558;44,0000;32400000,0000;13,1138;32400000,0000;14,2344;32400000,0000;13,4738;32400000,0000;13,7280;32400000,0000;14,4906;32400000,0000;13,9822;32400000,0000;13,6019;32400000,0000;12,9938;32400000,0000;15,3997;32400000,0000;13,8541;32400000,0000;12,9938
52039958,4327;34,0000;52039958,4327;24,0000;52039958,4327;44,0000;32440000,0000;14,2392;32440000,0000;13,4786;32440000,0000;13,6067;32440000,0000;13,4786;32440000,0000;13,3566;32440000,0000;12,8807;32440000,0000;13,6067;32440000,0000;13,3566;32440000,0000;13,9870;32440000,0000;14,1131;32440000,0000;14,2392
52511993,9844;34,0000;52511993,9844;24,0000;52511993,9844;44,0000;32480000,0000;14,1179;32480000,0000;13,9918;32480000,0000;14,1179;32480000,0000;15,4093;32480000,0000;14,3721;32480000,0000;13,2414;32480000,0000;14,6304;32480000,0000;12,7655;32480000,0000;13,9918;32480000,0000;13,8637;32480000,0000;12,6475
52988311,1990;34,0000;52988311,1990;24,0000;52988311,1990;44,0000;32520000,0000;14,7654;32520000,0000;14,6352;32520000,0000;14,1227;32520000,0000;13,4882;32520000,0000;13,2462;32520000,0000;13,9966;32520000,0000;13,1282;32520000,0000;14,1227;32520000,0000;12,8903;32520000,0000;14,7654;32520000,0000;12,5323
53468948,9140;34,0000;53468948,9140;24,0000;53468948,9140;44,0000;32560000,0000;14,0014;32560000,0000;13,7472;32560000,0000;13,3710;32560000,0000;13,1330;32560000,0000;13,6211;32560000,0000;14,6400;32560000,0000;13,1330;32560000,0000;14,5098;32560000,0000;12,6571;32560000,0000;13,6211;32560000,0000;14,5098
53953946,3190;34,0000;53953946,3190;24,0000;53953946,3190;44,0000;32600000,0000;14,5146;32600000,0000;14,1323;32600000,0000;13,1378;32600000,0000;14,2584;32600000,0000;13,8781;32600000,0000;14,5146;32600000,0000;13,3758;32600000,0000;13,3758;32600000,0000;14,7750;32600000,0000;13,1378;32600000,0000;13,0178
54443342,9592;34,0000;54443342,9592;24,0000;54443342,9592;44,0000;32640000,0000;13,8829;32640000,0000;13,2606;32640000,0000;14,1371;32640000,0000;14,0110;32640000,0000;13,5026;32640000,0000;12,7847;32640000,0000;14,7798;32640000,0000;12,9047;32640000,0000;12,5467;32640000,0000;14,0110;32640000,0000;12,6667
54937178,7385;34,0000;54937178,7385;24,0000;54937178,7385;44,0000;32680000,0000;14,3961;32680000,0000;12,0492;32680000,0000;14,6544;32680000,0000;13,1474;32680000,0000;16,4624;32680000,0000;13,0274;32680000,0000;14,7846;32680000,0000;13,8877;32680000,0000;12,9095;32680000,0000;13,8877;32680000,0000;15,0449
