RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y)
145678601,8020;37,2603;145678601,8020;27,2603;145678601,8020;47,2603;37000000,0000;23,7594;37000000,0000;22,3479
146999999,4594;37,3385;146999999,4594;27,3385;146999999,4594;47,3385;37040000,0000;25,8444;37040000,0000;23,7558
148333383,0348;37,4168;148333383,0348;27,4168;148333383,0348;47,4168;37080000,0000;26,4891;37080000,0000;21,5349
149678861,2480;37,4950;149678861,2480;27,4950;149678861,2480;47,4950;37120000,0000;23,7485;37120000,0000;22,4713
151036543,8051;37,5733;151036543,8051;27,5733;151036543,8051;47,5733;37160000,0000;22,7299;37160000,0000;22,0628
152406541,4074;37,6515;152406541,4074;27,6515;152406541,4074;47,6515;37200000,0000;21,7905;37200000,0000;22,7261
153788965,7600;37,7298;153788965,7600;27,7298;153788965,7600;47,7298;37240000,0000;22,8483;37240000,0000;23,4808
155183929,5816;37,8080;155183929,5816;27,8080;155183929,5816;47,8080;37280000,0000;21,7827;37280000,0000;25,1730
156591546,6131;37,8863;156591546,6131;27,8863;156591546,6131;47,8863;37320000,0000;23,8613;37320000,0000;22,0472
158011931,6271;37,9645;158011931,6271;27,9645;158011931,6271;47,9645;37360000,0000;23,3427;37360000,0000;23,0884
159445200,4374;38,0428;159445200,4374;28,0428;159445200,4374;48,0428;37400000,0000;22,8321;37400000,0000;21,7705
160891469,9083;38,1210;160891469,9083;28,1210;160891469,9083;48,1210;37440000,0000;24,2435;37440000,0000;25,2868
162350857,9639;38,1993;162350857,9639;28,1993;162350857,9639;48,1993;37480000,0000;26,7062;37480000,0000;26,7062
163823483,5983;38,2775;163823483,5983;28,2775;163823483,5983;48,2775;37520000,0000;28,8210;37520000,0000;25,2782
165309466,8846;38,3557;165309466,8846;28,3557;165309466,8846;48,3557;37560000,0000;28,0255;37560000,0000;22,6890
166808928,9854;38,4340;166808928,9854;28,4340;166808928,9854;48,4340;37600000,0000;23,8316;37600000,0000;23,6994
168321992,1619;38,5122;168321992,1619;28,5122;168321992,1619;48,5122;37640000,0000;22,9368;37640000,0000;21,2061
169848779,7847;38,5905;169848779,7847;28,5905;169848779,7847;48,5905;37680000,0000;23,3081;37680000,0000;22,8017
171389416,3431;38,6687;171389416,3431;28,6687;171389416,3431;48,6687;37720000,0000;23,1754;37720000,0000;23,0493
172944027,4560;38,7470;172944027,4560;28,7470;172944027,4560;48,7470;37760000,0000;23,1708;37760000,0000;22,4040
174512739,8812;38,8252;174512739,8812;28,8252;174512739,8812;48,8252;37800000,0000;24,4656;37800000,0000;22,5336
176095681,5268;38,9035;176095681,5268;28,9035;176095681,5268;48,9035;37840000,0000;23,5416;37840000,0000;21,0442
177692981,4609;38,9817;177692981,4609;28,9817;177692981,4609;48,9817;37880000,0000;23,0304;37880000,0000;22,5240
179304769,9222;39,0600;179304769,9222;29,0600;179304769,9222;49,0600;37920000,0000;22,5192;37920000,0000;22,1145
180931178,3309;39,1382;180931178,3309;29,1382;180931178,3309;49,1382;37960000,0000;22,6424;37960000,0000;21,9753
182572339,2992;39,2165;182572339,2992;29,2165;182572339,2992;49,2165;38000000,0000;21,2952;38000000,0000;20,4837
184228386,6423;39,2947;184228386,6423;29,2947;184228386,6423;49,2947;38040000,0000;21,9654;38040000,0000;20,3425
185899455,3890;39,3730;185899455,3890;29,3730;185899455,3890;49,3730;38080000,0000;22,0946;38080000,0000;22,6274
187585681,7931;39,4512;187585681,7931;29,4512;187585681,7931;49,4512;38120000,0000;22,0946;38120000,0000;21,1489
189287203,3441;39,5295;189287203,3441;29,5295;189287203,3441;49,5295;38160000,0000;23,5018;38160000,0000;22,9954
191004158,7787;39,6077;191004158,7787;29,6077;191004158,7787;49,6077;38200000,0000;23,2444;38200000,0000;23,1163
192736688,0922;39,6860;192736688,0922;29,6860;192736688,0922;49,6860;38240000,0000;22,9849;38240000,0000;21,5349
194484932,5494;39,7642;194484932,5494;29,7642;194484932,5494;49,7642;38280000,0000;23,1057;38280000,0000;22,6013
196249034,6969;39,8425;196249034,6969;29,8425;196249034,6969;49,8425;38320000,0000;21,9289;38320000,0000;21,6604
198029138,3738;39,9207;198029138,3738;29,9207;198029138,3738;49,9207;38360000,0000;23,2230;38360000,0000;20,9778
199825388,7243;39,9990;199825388,7243;29,9990;199825388,7243;49,9990;38400000,0000;20,8361;38400000,0000;24,5192
201637932,2089;40,0772;201637932,2089;30,0772;201637932,2089;50,0772;38440000,0000;22,4514;38440000,0000;21,6440
203466916,6169;40,1555;203466916,6169;30,1555;203466916,6169;50,1555;38480000,0000;22,1774;38480000,0000;22,4459
205312491,0777;40,2337;205312491,0777;30,2337;205312491,0777;50,2337;38520000,0000;21,6329;38520000,0000;20,9556
207174806,0738;40,3119;207174806,0738;30,3119;207174806,0738;50,3119;38560000,0000;20,6831;38560000,0000;21,0899
209054013,4525;40,3902;209054013,4525;30,3902;209054013,4525;50,3902;38600000,0000;21,4852;38600000,0000;21,0785
210950266,4384;40,4684;210950266,4384;30,4684;210950266,4384;50,4684;38640000,0000;20,3975;38640000,0000;20,2613
212863719,6460;40,5467;212863719,6460;30,5467;212863719,6460;50,5467;38680000,0000;20,3917;38680000,0000;21,2032
214794529,0924;40,6249;214794529,0924;30,6249;214794529,0924;50,6249;38720000,0000;20,6543;38720000,0000;20,1134
216742852,2095;40,7032;216742852,2095;30,7032;216742852,2095;50,7032;38760000,0000;26,1518;38760000,0000;19,7007
218708847,8577;40,7814;218708847,8577;30,7814;218708847,8577;50,7814;38800000,0000;22,3997;38800000,0000;22,1312
220692676,3379;40,8597;220692676,3379;30,8597;220692676,3379;50,8597;38840000,0000;28,1248;38840000,0000;20,2318
222694499,4053;40,9379;222694499,4053;30,9379;222694499,4053;50,9379;38880000,0000;26,9229;38880000,0000;22,7680
224714480,2824;41,0162;224714480,2824;31,0162;224714480,2824;51,0162;38920000,0000;28,3831;38920000,0000;25,1007
