RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
220692676,3379;40,8597;220692676,3379;30,8597;220692676,3379;50,8597;38840000,0000;28,1248
222694499,4053;40,9379;222694499,4053;30,9379;222694499,4053;50,9379;38880000,0000;26,9229
224714480,2824;41,0162;224714480,2824;31,0162;224714480,2824;51,0162;38920000,0000;28,3831
226752783,6719;41,0944;226752783,6719;31,0944;226752783,6719;51,0944;38960000,0000;27,5737
228809575,7707;41,1727;228809575,7707;31,1727;228809575,7707;51,1727;39000000,0000;25,4708
230885024,2832;41,2509;230885024,2832;31,2509;230885024,2832;51,2509;39040000,0000;24,1630
232979298,4350;41,3292;232979298,4350;31,3292;232979298,4350;51,3292;39080000,0000;22,3568
235092568,9865;41,4074;235092568,9865;31,4074;235092568,9865;51,4074;39120000,0000;21,5432
237225008,2473;41,4857;237225008,2473;31,4857;237225008,2473;51,4857;39160000,0000;19,9119
239376790,0896;41,5639;239376790,0896;31,5639;239376790,0896;51,5639;39200000,0000;19,7692
241548089,9631;41,6422;241548089,9631;31,6422;241548089,9631;51,6422;39240000,0000;19,3560
243739084,9087;41,7204;243739084,9087;31,7204;243739084,9087;51,7204;39280000,0000;18,3758
245949953,5732;41,7987;245949953,5732;31,7987;245949953,5732;51,7987;39320000,0000;19,2028
248180876,2240;41,8769;248180876,2240;31,8769;248180876,2240;51,8769;39360000,0000;19,7433
250432034,7634;41,9552;250432034,7634;31,9552;250432034,7634;51,9552;39400000,0000;19,3299
252703612,7439;42,0334;252703612,7439;32,0334;252703612,7439;52,0334;39440000,0000;19,1830
254995795,3827;42,1117;254995795,3827;32,1117;254995795,3827;52,1117;39480000,0000;20,1301
257308769,5773;42,1899;257308769,5773;32,1899;257308769,5773;52,1899;39520000,0000;18,4700
259642723,9202;42,2681;259642723,9202;32,2681;259642723,9202;52,2681;39560000,0000;21,3349
261997848,7149;42,3464;261997848,7149;32,3464;261997848,7149;52,3464;39600000,0000;18,7371
264374335,9906;42,4246;264374335,9906;32,4246;264374335,9906;52,4246;39640000,0000;18,4565
266772379,5189;42,5029;266772379,5189;32,5029;266772379,5189;52,5029;39680000,0000;20,0962
269192174,8286;42,5811;269192174,8286;32,5811;269192174,8286;52,5811;39720000,0000;19,5463
271633919,2221;42,6594;271633919,2221;32,6594;271633919,2221;52,6594;39760000,0000;20,0823
274097811,7918;42,7376;274097811,7918;32,7376;274097811,7918;52,7376;39800000,0000;19,1215
276584053,4355;42,8159;276584053,4355;32,8159;276584053,4355;52,8159;39840000,0000;19,3911
279092846,8737;42,8941;279092846,8737;32,8941;279092846,8737;52,8941;39880000,0000;19,5182
281624396,6655;42,9724;281624396,6655;32,9724;281624396,6655;52,9724;39920000,0000;19,7908
284178909,2255;43,0506;284178909,2255;33,0506;284178909,2255;53,0506;39960000,0000;20,0470
